發生時間,發生地點,死亡受傷人數,車種,經度,緯度
107年05月15日 07時45分28秒,花蓮縣光復鄉東富路8-3號前0.0公尺北側,死亡1;受傷0,普通重型-機車,121.462860,23.665454
107年05月15日 11時18分00秒,屏東縣恆春鎮西門路與西門路109巷口,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.743317,22.007907
107年05月15日 12時03分00秒,新竹市北區經國路口 / 新竹市北區鐵道路,死亡1;受傷0,自用-小客車;普通重型-機車,120.980914,24.814786
107年05月15日 13時00分00秒,新北市板橋區縣民大道3段 / 新北市板橋區民生路,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人,121.478973,25.023920
107年05月15日 14時42分44秒,桃園市龜山區長壽路口 / 桃園市龜山區長壽路口,死亡1;受傷2,自用-小客車;普通重型-機車;普通重型-機車;自用-小客車,121.341604,25.001059
107年05月15日 14時43分00秒,雲林縣土庫鎮順天里光復路口 / 雲林縣土庫鎮順天里文化路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.385591,23.676686
107年05月15日 15時50分00秒,臺南市學甲區慈福里濟生路2巷8號旁嘉南大圳學甲分線,死亡1;受傷0,普通重型-機車,120.189461,23.232019
107年05月15日 19時37分00秒,雲林縣虎尾鎮惠來里台1線291823燈桿前,死亡1;受傷0,行人-人;自用-小客車,120.491893,23.736162
107年05月15日 21時36分00秒,臺北市文山區木柵路1段 / 臺北市文山區木柵路1段,死亡1;受傷0,租賃車-小客車;普通重型-機車,121.550245,24.987633
107年05月16日 00時00分00秒,臺中市外埔區大東里甲后路五段89號前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,120.637046,24.342769
107年05月16日 15時57分10秒,臺南市佳里區六安里延平路口 / 臺南市佳里區六安里忠孝路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.178190,23.165385
107年05月16日 18時30分00秒,臺北市士林區忠誠路2段 / 臺北市士林區天母東路,死亡1;受傷1,普通重型-機車;普通重型-機車,121.534731,25.118138
107年05月16日 21時37分00秒,雲林縣口湖鄉下崙村中興路(077306號電桿旁),死亡1;受傷0,普通重型-機車,120.164107,23.619168
107年05月17日 16時05分00秒,高雄市湖內區鐵道巷路 / 高雄市湖內區民族街,死亡1;受傷1,租賃車-小客車;自用-小貨車(含客、貨兩用);普通重型-機車,120.237917,22.884971
107年05月17日 17時48分00秒,雲林縣西螺鎮新吉街,死亡1;受傷0,拼裝車-其他車;行人-人,120.449778,23.782590
107年05月17日 22時24分00秒,屏東縣里港鄉載興路南側 / 屏東縣里港鄉載南路,死亡1;受傷2,自用-小客車;普通重型-機車;乘客-人;乘客-人;乘客-人,120.529522,22.779312
107年05月18日 09時11分20秒,桃園市平鎮區中興路九龍段與東龍街口,死亡1;受傷0,行人-人;自用-小客車,121.247930,24.879491
107年05月18日 14時00分00秒,嘉義市東區芳草里興業東路 / 嘉義市東區芳草里宣信街,死亡1;受傷0,自用-小客車;普通輕型-機車,120.455832,23.469502
107年05月19日 14時00分10秒,臺南市仁德區上崙里臺86往西便道與德崙路口(引道),死亡1;受傷1,營業用-半聯結車;普通重型-機車;乘客-人,120.260679,22.934454
107年05月19日 14時02分00秒,南投縣南投市南崗一路西側 / 南投縣南投市集賢路,死亡1;受傷2,普通重型-機車;大型重型1(550C.C.以上)-機車;乘客-人,120.681744,23.903361
107年05月19日 19時55分00秒,屏東縣屏東市台糖三街近台糖街口,死亡1;受傷0,行人-人;自用-小客車,120.488964,22.663213
107年05月19日 23時59分00秒,桃園市新屋區長祥路與圳禾路口,死亡1;受傷0,自用-小客車;普通重型-機車,121.123569,24.955155
107年05月19日 23時59分47秒,新竹市北區中正路293號北側,死亡1;受傷0,普通重型-機車;自用-小客車,120.963218,24.813444
107年05月20日 06時53分00秒,臺南市安南區台江大道2段東側 / 臺南市安南區北安路3段,死亡1;受傷0,自用-小客車;普通重型-機車,120.213491,23.055862
107年05月20日 16時35分00秒,南投縣南投市八卦路1158之1號北側,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小貨車(含客、貨兩用),120.638088,23.935956
107年05月20日 17時05分00秒,臺南市學甲區宅港里台19線宅港橋北向,死亡1;受傷0,普通重型-機車,120.201230,23.249727
107年05月20日 20時05分00秒,高雄市小港區小港路 / 高雄市小港區大業北路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.345947,22.565566
107年05月20日 22時40分00秒,雲林縣臺西鄉溪頂村溪頂路172號前0.0公尺,死亡1;受傷0,普通重型-機車,120.189060,23.686727
107年05月21日 08時05分00秒,屏東縣東港鎮興農路1-20號,死亡1;受傷0,普通重型-機車,120.472914,22.486317
